model,scheme,n,feature,beta,se,odds_ratio,ci_low,ci_high,p_value,log_p_value,p_holm
trim_1_99,model_pair,77379,bold_density_diff,0.04846880580553908,0.011120350126438135,1.049662627929484,1.0270096369652606,1.0728152811959442,1.4211912036735687e-05,-11.161430069190276,0.00012790720833062117
spline_format,HC0,78959,header_density_diff,0.029308259870172902,0.009567367534812228,1.0297419736820999,1.0106124811885981,1.0492335609348395,0.0021886896877439423,-6.124452230314889,0.0043773793754878845
spline_format,HC0,78959,list_density_diff,-0.00758289733870619,0.008721025462161053,0.9924457802950194,0.9756261654429468,1.0095553621998345,0.3845758583986941,-0.9556142184718409,0.3845758583986941
spline_format,HC0,78959,bold_density_diff,0.0549085377491589,0.010537392507636441,1.0564439855117989,1.0348491092689123,1.0784894962247433,1.879998959380936e-07,-15.486824427637396,5.639996878142808e-07
spline_format,prompt_first,78959,header_density_diff,0.029308259870172902,0.009597676941005329,1.0297419736820999,1.0105521438855916,1.0492962077994015,0.0022612933636367177,-6.091818344595429,0.004522586727273435
spline_format,prompt_first,78959,list_density_diff,-0.00758289733870619,0.008737303520821076,0.9924457802950194,0.9755947726007528,1.0095878478312275,0.3854648821429829,-0.95330518703369,0.3854648821429829
spline_format,prompt_first,78959,bold_density_diff,0.0549085377491589,0.010540659483214965,1.0564439855117989,1.034842141881346,1.0784967574813178,1.9013772846217172e-07,-15.475517140746343,5.704131853865152e-07
spline_format,prompt_sequence,78959,header_density_diff,0.029308259870172902,0.00959613559405679,1.0297419736820999,1.0105551981979708,1.0492930363957982,0.0022575961948674062,-6.09345466234402,0.0045151923897348125
spline_format,prompt_sequence,78959,list_density_diff,-0.00758289733870619,0.008742162408365537,0.9924457802950194,0.9755854828974782,1.0095974613112355,0.3857290170954494,-0.9526201843046601,0.3857290170954494
spline_format,prompt_sequence,78959,bold_density_diff,0.0549085377491589,0.010538321124333009,1.0564439855117989,1.0348468863227618,1.078491812919228,1.8895504739779364e-07,-15.481756694632365,5.668651421933809e-07
spline_format,model_pair,78959,header_density_diff,0.029308259870172902,0.009838501868770754,1.0297419736820999,1.0100559057857548,1.0498117245676732,0.0029506703977390278,-5.82572288097771,0.0059013407954780555
spline_format,model_pair,78959,list_density_diff,-0.00758289733870619,0.009146745154651935,0.9924457802950194,0.9747948030997158,1.0104163703924007,0.4072540808024182,-0.8983180111636467,0.4072540808024182
spline_format,model_pair,78959,bold_density_diff,0.0549085377491589,0.01097385303372049,1.0564439855117989,1.0339417763647545,1.079435921864061,6.466514751118265e-07,-14.251458365928205,1.9399544253354795e-06
decisive_stage,HC0,108154,log_token_ratio,0.19363775791444715,0.008852783815161556,1.213656565833465,1.1927798847968765,1.234898641874328,4.687069420154307e-106,-242.52921232732518,1.874827768061723e-105
decisive_stage,HC0,108154,header_density_diff,0.03507572822916794,0.007769496885912265,1.0356981374158547,1.020046071236215,1.0515903762529852,6.345342977726156e-06,-11.967789403455654,1.2690685955452312e-05
decisive_stage,HC0,108154,list_density_diff,0.051255180124628055,0.008269379751118073,1.0525914594351755,1.0356688953151427,1.0697905339126133,5.711646368980172e-10,-21.28334361701224,1.7134939106940516e-09
decisive_stage,HC0,108154,bold_density_diff,-0.003035989735623834,0.007969537665288453,0.9969686142208468,0.9815169494073906,1.0126635289808796,0.7032408751071577,-0.3520558070150034,0.7032408751071577
decisive_stage,prompt_first,108154,log_token_ratio,0.19363775791444715,0.009079282337539562,1.213656565833465,1.1922502421538854,1.2354472305492414,1.047566896242383e-100,-230.21203906586834,4.190267584969532e-100
decisive_stage,prompt_first,108154,header_density_diff,0.03507572822916794,0.007816000083151864,1.0356981374158547,1.0199529192051557,1.051686417724651,7.208030628470096e-06,-11.840314788434455,1.4416061256940191e-05
decisive_stage,prompt_first,108154,list_density_diff,0.051255180124628055,0.008355684594409999,1.0525914594351755,1.0354935218594996,1.0699717159854953,8.591735248798357e-10,-20.87505020633604,2.577520574639507e-09
decisive_stage,prompt_first,108154,bold_density_diff,-0.003035989735623834,0.008004491545263975,0.9969686142208468,0.9814495277075714,1.0127330949591,0.7044764518986792,-0.35030037347005993,0.7044764518986792
decisive_stage,prompt_sequence,108154,log_token_ratio,0.19363775791444715,0.009081503293821182,1.213656565833465,1.1922450536105906,1.2354526071045264,1.1673132328499677e-100,-230.1038045735035,4.669252931399871e-100
decisive_stage,prompt_sequence,108154,header_density_diff,0.03507572822916794,0.00781412904879804,1.0356981374158547,1.019956660591665,1.0516825599476227,7.171737989254601e-06,-11.845362535340666,1.4343475978509202e-05
decisive_stage,prompt_sequence,108154,list_density_diff,0.051255180124628055,0.008353833385476189,1.0525914594351755,1.0354972800855362,1.0699678326382005,8.518443586205199e-10,-20.88361728346228,2.55553307586156e-09
decisive_stage,prompt_sequence,108154,bold_density_diff,-0.003035989735623834,0.008002272134696673,0.9969686142208468,0.9814537980284874,1.012728688541471,0.7043983419338777,-0.3504112562329901,0.7043983419338777
decisive_stage,model_pair,108154,log_token_ratio,0.19363775791444715,0.010068995786024148,1.213656565833465,1.1899163534994712,1.2378704229577047,4.464519499839258e-72,-164.28996510185135,1.7858077999357032e-71
decisive_stage,model_pair,108154,header_density_diff,0.03507572822916794,0.007633930235921224,1.0356981374158547,1.0203017645911097,1.0513268417962092,4.78965464828049e-06,-12.249052247620735,9.57930929656098e-06
decisive_stage,model_pair,108154,list_density_diff,0.051255180124628055,0.008899675763082216,1.0525914594351755,1.0343720927608073,1.0711317409179946,1.0720493519072472e-08,-18.351108645136527,3.2161480557217415e-08
decisive_stage,model_pair,108154,bold_density_diff,-0.003035989735623834,0.008578061774700574,0.9969686142208468,0.9803304069094092,1.013889205859637,0.7234571784382093,-0.3237139213405552,0.7234571784382093
